model_dir,model,context,context_sources,dataset,manipulation,macro_f1,accuracy
ministral_8b,ministral-8b-latest,c0,,ABSTRCT,original,0.7376858058874963,0.75
ministral_8b,ministral-8b-latest,c0,,ABSTRCT,content_only,0.4957983193277311,0.5833333333333334
ministral_8b,ministral-8b-latest,c0,,ABSTRCT,shuffle,0.4034090909090909,0.5333333333333333
ministral_8b,ministral-8b-latest,c0,,ACQUA,original,0.7482517482517483,0.75
ministral_8b,ministral-8b-latest,c0,,ACQUA,content_only,0.4444444444444444,0.5333333333333333
ministral_8b,ministral-8b-latest,c0,,ACQUA,shuffle,0.3693367162015223,0.5166666666666667
ministral_8b,ministral-8b-latest,c0,,AEC,original,0.4514285714285714,0.4666666666666667
ministral_8b,ministral-8b-latest,c0,,AEC,content_only,0.5368941031182464,0.5833333333333334
ministral_8b,ministral-8b-latest,c0,,AEC,shuffle,0.38440492476060195,0.5
ministral_8b,ministral-8b-latest,c0,,AFS,original,0.513888888888889,0.5333333333333333
ministral_8b,ministral-8b-latest,c0,,AFS,content_only,0.6723196320781835,0.6833333333333333
ministral_8b,ministral-8b-latest,c0,,AFS,shuffle,0.4444444444444444,0.5333333333333333
ministral_8b,ministral-8b-latest,c0,,ARGUMINSCI,original,0.4957983193277311,0.5833333333333334
ministral_8b,ministral-8b-latest,c0,,ARGUMINSCI,content_only,0.3333333333333333,0.5
ministral_8b,ministral-8b-latest,c0,,ARGUMINSCI,shuffle,0.3333333333333333,0.5
ministral_8b,ministral-8b-latest,c0,,FINARG,original,0.4257486878666255,0.48333333333333334
ministral_8b,ministral-8b-latest,c0,,FINARG,content_only,0.3333333333333333,0.5
ministral_8b,ministral-8b-latest,c0,,FINARG,shuffle,0.3258426966292135,0.48333333333333334
ministral_8b,ministral-8b-latest,c0,,IAM,original,0.7643097643097643,0.7666666666666667
ministral_8b,ministral-8b-latest,c0,,IAM,content_only,0.7101449275362319,0.7166666666666667
ministral_8b,ministral-8b-latest,c0,,IAM,shuffle,0.48412698412698413,0.5666666666666667
ministral_8b,ministral-8b-latest,c0,,PE,original,0.6760443307757886,0.6833333333333333
ministral_8b,ministral-8b-latest,c0,,PE,content_only,0.3453145057766367,0.43333333333333335
ministral_8b,ministral-8b-latest,c0,,PE,shuffle,0.4034090909090909,0.5333333333333333
ministral_8b,ministral-8b-latest,c0,,SCIARK,original,0.7285067873303167,0.7333333333333333
ministral_8b,ministral-8b-latest,c0,,SCIARK,content_only,0.48717948717948717,0.55
