model_dir,model,context,context_sources,dataset,manipulation,macro_f1,accuracy
mistral_medium,mistral-medium-latest,c1,definition,ABSTRCT,original,0.8,0.8
mistral_medium,mistral-medium-latest,c1,definition,ABSTRCT,content_only,0.5970695970695971,0.6333333333333333
mistral_medium,mistral-medium-latest,c1,definition,ABSTRCT,shuffle,0.5238095238095238,0.6
mistral_medium,mistral-medium-latest,c1,definition,ACQUA,original,0.8316498316498316,0.8333333333333334
mistral_medium,mistral-medium-latest,c1,definition,ACQUA,content_only,0.5927601809954751,0.6
mistral_medium,mistral-medium-latest,c1,definition,ACQUA,shuffle,0.6703296703296704,0.7
mistral_medium,mistral-medium-latest,c1,definition,AEC,original,0.5417156286721504,0.5666666666666667
mistral_medium,mistral-medium-latest,c1,definition,AEC,content_only,0.4857142857142857,0.5
mistral_medium,mistral-medium-latest,c1,definition,AEC,shuffle,0.4034090909090909,0.5333333333333333
mistral_medium,mistral-medium-latest,c1,definition,AFS,original,0.4444444444444444,0.5333333333333333
mistral_medium,mistral-medium-latest,c1,definition,AFS,content_only,0.7643097643097643,0.7666666666666667
mistral_medium,mistral-medium-latest,c1,definition,AFS,shuffle,0.576379974326059,0.6333333333333333
mistral_medium,mistral-medium-latest,c1,definition,ARGUMINSCI,original,0.7532314923619272,0.7666666666666667
mistral_medium,mistral-medium-latest,c1,definition,ARGUMINSCI,content_only,0.466484268125855,0.5666666666666667
mistral_medium,mistral-medium-latest,c1,definition,ARGUMINSCI,shuffle,0.3333333333333333,0.5
mistral_medium,mistral-medium-latest,c1,definition,FINARG,original,0.576379974326059,0.6333333333333333
mistral_medium,mistral-medium-latest,c1,definition,FINARG,content_only,0.3333333333333333,0.5
mistral_medium,mistral-medium-latest,c1,definition,FINARG,shuffle,0.3333333333333333,0.5
mistral_medium,mistral-medium-latest,c1,definition,IAM,original,0.7991071428571428,0.8
mistral_medium,mistral-medium-latest,c1,definition,IAM,content_only,0.7643097643097643,0.7666666666666667
mistral_medium,mistral-medium-latest,c1,definition,IAM,shuffle,0.5238095238095238,0.6
mistral_medium,mistral-medium-latest,c1,definition,PE,original,0.5982142857142857,0.6
mistral_medium,mistral-medium-latest,c1,definition,PE,content_only,0.6228571428571429,0.6333333333333333
mistral_medium,mistral-medium-latest,c1,definition,PE,shuffle,0.38440492476060195,0.5
mistral_medium,mistral-medium-latest,c1,definition,SCIARK,original,0.8331479421579533,0.8333333333333334
mistral_medium,mistral-medium-latest,c1,definition,SCIARK,content_only,0.6527777777777778,0.6666666666666666
mistral_medium,mistral-medium-latest,c1,definition,SCIARK,shuffle,0.466484268125855,0.5666666666666667
mistral_medium,mistral-medium-latest,c1,definition,USELEC,original,0.6296296296296295,0.6333333333333333
mistral_medium,mistral-medium-latest,c1,definition,USELEC,content_only,0.5622895622895623,0.5666666666666667
mistral_medium,mistral-medium-latest,c1,definition,USELEC,shuffle,0.4993581514762516,0.5666666666666667
